Date Of Sleep,Local Time Offset,Sleep Score,BedTime,Sleep Start Time,Wake Up Time,Get Up Time,Total In Bed Duration (hrs),Total Sleep Duration (hrs)
01/06/2021,-4,74.16441491,2021-06-01T01:19:14.000Z,2021-06-01T01:28:44.000Z,2021-06-01T10:16:44.000Z,2021-06-01T10:16:44.000Z,8.972,7.472
03/06/2021,-4,87.0638612,2021-06-03T01:50:47.000Z,2021-06-03T01:50:47.000Z,2021-06-03T09:22:17.000Z,2021-06-03T09:22:47.000Z,7.528,7.139
04/06/2021,-4,82.47833819,2021-06-04T02:06:19.000Z,2021-06-04T02:21:49.000Z,2021-06-04T10:24:49.000Z,2021-06-04T10:36:49.000Z,8.500,7.306
05/06/2021,-4,76.93313492,2021-06-05T03:41:10.000Z,2021-06-05T03:45:10.000Z,2021-06-05T09:51:40.000Z,2021-06-05T09:53:10.000Z,6.194,5.917
06/06/2021,-4,79.6734127,2021-06-06T03:12:01.000Z,2021-06-06T03:25:31.000Z,2021-06-06T12:00:01.000Z,2021-06-06T12:11:01.000Z,8.972,7.528
07/06/2021,-4,94.77020013,2021-06-07T01:38:05.000Z,2021-06-07T01:43:35.000Z,2021-06-07T10:31:05.000Z,2021-06-07T10:38:05.000Z,9.000,8.444
08/06/2021,-4,92.03867145,2021-06-08T01:35:48.000Z,2021-06-08T01:56:48.000Z,2021-06-08T10:50:18.000Z,2021-06-08T11:00:18.000Z,9.417,7.611
09/06/2021,-4,71.34626771,2021-06-09T02:14:24.000Z,2021-06-09T02:29:54.000Z,2021-06-09T10:09:54.000Z,2021-06-09T10:12:54.000Z,7.972,6.556
10/06/2021,-4,87.11468254,2021-06-10T02:34:41.000Z,2021-06-10T02:38:41.000Z,2021-06-10T09:59:11.000Z,2021-06-10T10:15:41.000Z,7.694,7.111
11/06/2021,-4,87.08535354,2021-06-11T02:24:15.000Z,2021-06-11T02:49:45.000Z,2021-06-11T10:06:15.000Z,2021-06-11T10:23:45.000Z,8.000,7.083
12/06/2021,-4,75.06109538,2021-06-12T02:01:18.000Z,2021-06-12T03:16:48.000Z,2021-06-12T10:06:48.000Z,2021-06-12T10:21:48.000Z,8.333,6.611
13/06/2021,-4,80.3514954,2021-06-13T00:38:06.000Z,2021-06-13T00:38:06.000Z,2021-06-13T07:39:06.000Z,2021-06-13T07:56:36.000Z,7.306,6.583
14/06/2021,-4,92.45281183,2021-06-14T01:03:05.000Z,2021-06-14T01:07:35.000Z,2021-06-14T10:41:05.000Z,2021-06-14T10:51:05.000Z,9.806,8.028
15/06/2021,-4,88.10109136,2021-06-15T01:56:29.000Z,2021-06-15T02:03:59.000Z,2021-06-15T10:46:59.000Z,2021-06-15T10:58:29.000Z,9.028,7.972
16/06/2021,-4,80.62155156,2021-06-16T02:09:36.000Z,2021-06-16T02:19:36.000Z,2021-06-16T09:52:36.000Z,2021-06-16T10:50:06.000Z,8.667,6.861
17/06/2021,-4,93.83351952,2021-06-17T02:00:28.000Z,2021-06-17T02:04:58.000Z,2021-06-17T10:55:58.000Z,2021-06-17T11:12:58.000Z,9.222,7.444
18/06/2021,-4,86.48313492,2021-06-18T02:22:30.000Z,2021-06-18T02:28:30.000Z,2021-06-18T09:29:30.000Z,2021-06-18T09:48:30.000Z,7.444,6.889
19/06/2021,-4,87.43905385,2021-06-19T02:03:13.000Z,2021-06-19T02:17:13.000Z,2021-06-19T11:23:43.000Z,2021-06-19T11:25:43.000Z,9.389,8.417
20/06/2021,-4,88.71897126,2021-06-20T02:08:32.000Z,2021-06-20T02:19:32.000Z,2021-06-20T10:30:02.000Z,2021-06-20T10:30:02.000Z,8.361,7.722
21/06/2021,-4,82.46355607,2021-06-21T01:16:30.000Z,2021-06-21T01:22:30.000Z,2021-06-21T10:34:30.000Z,2021-06-21T10:40:00.000Z,9.389,8.083
22/06/2021,-4,90.18443518,2021-06-22T01:56:01.000Z,2021-06-22T02:03:01.000Z,2021-06-22T10:08:31.000Z,2021-06-22T10:14:01.000Z,8.306,7.639
23/06/2021,-4,86.58070175,2021-06-23T01:12:46.000Z,2021-06-23T01:18:16.000Z,2021-06-23T10:04:46.000Z,2021-06-23T10:05:46.000Z,8.889,7.806
24/06/2021,-4,87.35076283,2021-06-24T02:21:39.000Z,2021-06-24T02:22:09.000Z,2021-06-24T10:05:09.000Z,2021-06-24T10:19:09.000Z,7.972,7.306
25/06/2021,-4,89.32103175,2021-06-25T02:22:46.000Z,2021-06-25T02:27:46.000Z,2021-06-25T10:01:16.000Z,2021-06-25T10:18:46.000Z,7.944,7.278
26/06/2021,-4,62.5980341,2021-06-26T02:31:35.000Z,2021-06-26T04:07:05.000Z,2021-06-26T10:30:35.000Z,2021-06-26T10:36:05.000Z,8.083,5.917
27/06/2021,-4,89.35158035,2021-06-27T01:24:46.000Z,2021-06-27T01:42:16.000Z,2021-06-27T10:55:46.000Z,2021-06-27T11:16:46.000Z,9.861,8.472
28/06/2021,-4,92.44840024,2021-06-28T00:58:07.000Z,2021-06-28T01:07:07.000Z,2021-06-28T09:43:37.000Z,2021-06-28T09:43:37.000Z,8.750,8.222
29/06/2021,-4,88.85480745,2021-06-29T01:48:32.000Z,2021-06-29T01:48:32.000Z,2021-06-29T10:40:02.000Z,2021-06-29T10:46:32.000Z,8.972,8.028
30/06/2021,-4,91.10992063,2021-06-30T02:36:11.000Z,2021-06-30T02:36:11.000Z,2021-06-30T10:38:11.000Z,2021-06-30T10:53:11.000Z,8.278,7.778
01/07/2021,-4,89.58849206,2021-07-01T02:41:27.000Z,2021-07-01T02:45:27.000Z,2021-07-01T10:25:27.000Z,2021-07-01T10:35:27.000Z,7.889,7.389
02/07/2021,-4,84.67885154,2021-07-02T01:47:14.000Z,2021-07-02T01:47:14.000Z,2021-07-02T10:17:14.000Z,2021-07-02T10:24:14.000Z,8.611,7.639
03/07/2021,-4,81.20731671,2021-07-03T02:28:34.000Z,2021-07-03T02:36:04.000Z,2021-07-03T10:57:34.000Z,2021-07-03T11:07:34.000Z,8.639,7.417
04/07/2021,-4,59.20383543,2021-07-04T01:53:14.000Z,2021-07-04T01:56:44.000Z,2021-07-04T09:54:14.000Z,2021-07-04T10:21:44.000Z,8.472,6.306
05/07/2021,-4,62.35421888,2021-07-05T02:31:37.000Z,2021-07-05T02:36:37.000Z,2021-07-05T09:39:07.000Z,2021-07-05T09:39:07.000Z,7.139,5.833
06/07/2021,-4,84.8383158,2021-07-06T03:33:05.000Z,2021-07-06T03:43:35.000Z,2021-07-06T10:34:05.000Z,2021-07-06T10:41:05.000Z,7.139,6.639
07/07/2021,-4,88.88300877,2021-07-07T02:06:52.000Z,2021-07-07T02:15:22.000Z,2021-07-07T09:56:22.000Z,2021-07-07T10:11:22.000Z,8.083,7.278
08/07/2021,-4,89.65660801,2021-07-08T01:39:14.000Z,2021-07-08T01:43:14.000Z,2021-07-08T10:16:44.000Z,2021-07-08T10:34:14.000Z,8.917,7.944
09/07/2021,-4,88.11887862,2021-07-09T02:52:39.000Z,2021-07-09T03:24:39.000Z,2021-07-09T10:51:39.000Z,2021-07-09T11:12:09.000Z,8.333,7.278
10/07/2021,-4,83.14886364,2021-07-10T02:25:32.000Z,2021-07-10T02:33:02.000Z,2021-07-10T10:07:32.000Z,2021-07-10T10:26:02.000Z,8.000,7.000
11/07/2021,-4,80.77084419,2021-07-11T01:58:28.000Z,2021-07-11T02:05:28.000Z,2021-07-11T11:33:58.000Z,2021-07-11T11:47:58.000Z,9.833,7.861
12/07/2021,-4,94.21661478,2021-07-12T01:17:53.000Z,2021-07-12T01:23:53.000Z,2021-07-12T10:43:53.000Z,2021-07-12T10:54:53.000Z,9.611,8.833
13/07/2021,-4,89.44037708,2021-07-13T01:44:21.000Z,2021-07-13T01:49:21.000Z,2021-07-13T10:14:51.000Z,2021-07-13T10:25:51.000Z,8.694,7.806
14/07/2021,-4,87.55615079,2021-07-14T02:35:02.000Z,2021-07-14T02:40:02.000Z,2021-07-14T09:45:32.000Z,2021-07-14T09:48:02.000Z,7.222,7.000
15/07/2021,-4,74.1406169,2021-07-15T02:01:26.000Z,2021-07-15T02:30:56.000Z,2021-07-15T10:23:26.000Z,2021-07-15T10:39:56.000Z,8.639,6.917
16/07/2021,-4,90.18486115,2021-07-16T02:13:30.000Z,2021-07-16T02:23:00.000Z,2021-07-16T10:00:30.000Z,2021-07-16T10:06:30.000Z,7.889,7.389
17/07/2021,-4,89.58669995,2021-07-17T01:39:15.000Z,2021-07-17T01:54:45.000Z,2021-07-17T10:26:15.000Z,2021-07-17T10:41:45.000Z,9.056,8.083
18/07/2021,-4,94.41274729,2021-07-18T02:29:22.000Z,2021-07-18T02:35:22.000Z,2021-07-18T11:00:52.000Z,2021-07-18T11:14:52.000Z,8.750,8.083
19/07/2021,-4,75.79808989,2021-07-19T02:31:48.000Z,2021-07-19T02:31:48.000Z,2021-07-19T10:34:18.000Z,2021-07-19T10:45:48.000Z,8.222,6.972
20/07/2021,-4,78.21148057,2021-07-20T02:06:37.000Z,2021-07-20T02:16:37.000Z,2021-07-20T10:03:07.000Z,2021-07-20T10:17:37.000Z,8.194,7.139
21/07/2021,-4,94.26428571,2021-07-21T01:36:22.000Z,2021-07-21T01:39:22.000Z,2021-07-21T09:54:22.000Z,2021-07-21T10:05:22.000Z,8.472,8.056
22/07/2021,-4,89.48571429,2021-07-22T02:23:11.000Z,2021-07-22T02:23:11.000Z,2021-07-22T10:03:41.000Z,2021-07-22T10:12:41.000Z,7.833,7.417
23/07/2021,-4,84.00321429,2021-07-23T02:10:55.000Z,2021-07-23T02:15:25.000Z,2021-07-23T09:35:25.000Z,2021-07-23T10:32:25.000Z,8.361,6.167
24/07/2021,-4,90.04761905,2021-07-24T02:08:31.000Z,2021-07-24T02:11:31.000Z,2021-07-24T10:26:31.000Z,2021-07-24T10:32:01.000Z,8.389,7.917
25/07/2021,-4,92.86628883,2021-07-25T01:47:57.000Z,2021-07-25T02:02:27.000Z,2021-07-25T10:09:27.000Z,2021-07-25T10:14:57.000Z,8.444,7.833
26/07/2021,-4,93.55945328,2021-07-26T01:34:24.000Z,2021-07-26T01:44:54.000Z,2021-07-26T10:51:24.000Z,2021-07-26T10:51:24.000Z,9.278,8.667
27/07/2021,-4,88.72301587,2021-07-27T02:29:42.000Z,2021-07-27T02:34:12.000Z,2021-07-27T10:17:12.000Z,2021-07-27T10:37:42.000Z,8.139,7.472
28/07/2021,-4,90.62849306,2021-07-28T02:28:34.000Z,2021-07-28T02:37:34.000Z,2021-07-28T10:27:04.000Z,2021-07-28T10:37:34.000Z,8.139,7.444
29/07/2021,-4,86.7527934,2021-07-29T01:17:15.000Z,2021-07-29T01:18:15.000Z,2021-07-29T09:45:15.000Z,2021-07-29T09:55:15.000Z,8.639,7.722
30/07/2021,-4,62.64191996,2021-07-30T02:57:53.000Z,2021-07-30T03:02:53.000Z,2021-07-30T09:13:53.000Z,2021-07-30T09:33:23.000Z,6.583,5.361
31/07/2021,-4,93.51269841,2021-07-31T02:15:52.000Z,2021-07-31T02:20:22.000Z,2021-07-31T10:17:52.000Z,2021-07-31T10:35:52.000Z,8.333,7.806
01/08/2021,-4,94.16984127,2021-08-01T01:50:27.000Z,2021-08-01T01:50:27.000Z,2021-08-01T10:30:57.000Z,2021-08-01T10:38:27.000Z,8.806,8.417
02/08/2021,-4,89.24881849,2021-08-02T01:18:58.000Z,2021-08-02T01:18:58.000Z,2021-08-02T09:25:58.000Z,2021-08-02T09:31:58.000Z,8.222,7.639
03/08/2021,-4,93.93333333,2021-08-03T01:47:28.000Z,2021-08-03T01:47:28.000Z,2021-08-03T11:04:28.000Z,2021-08-03T11:10:58.000Z,9.389,8.833
04/08/2021,-4,83.12934704,2021-08-04T02:21:34.000Z,2021-08-04T02:24:34.000Z,2021-08-04T09:41:34.000Z,2021-08-04T09:48:04.000Z,7.444,6.861
05/08/2021,-4,94.26349206,2021-08-05T02:09:07.000Z,2021-08-05T02:09:07.000Z,2021-08-05T10:43:07.000Z,2021-08-05T11:05:37.000Z,8.944,8.361
06/08/2021,-4,90.36626984,2021-08-06T02:32:13.000Z,2021-08-06T02:35:43.000Z,2021-08-06T10:03:43.000Z,2021-08-06T10:13:43.000Z,7.694,7.278
07/08/2021,-4,88.68745225,2021-08-07T01:40:46.000Z,2021-08-07T01:40:46.000Z,2021-08-07T11:08:16.000Z,2021-08-07T11:12:16.000Z,9.528,7.833
08/08/2021,-4,96.62301587,2021-08-08T01:54:31.000Z,2021-08-08T02:07:31.000Z,2021-08-08T11:05:01.000Z,2021-08-08T11:17:31.000Z,9.389,8.750
09/08/2021,-4,84.95038123,2021-08-09T00:44:08.000Z,2021-08-09T00:51:08.000Z,2021-08-09T10:16:38.000Z,2021-08-09T10:33:08.000Z,9.806,8.222
10/08/2021,-4,78.64651352,2021-08-10T02:20:44.000Z,2021-08-10T02:37:14.000Z,2021-08-10T10:59:14.000Z,2021-08-10T11:15:14.000Z,8.917,7.472
11/08/2021,-4,86.98354908,2021-08-11T01:49:25.000Z,2021-08-11T01:53:55.000Z,2021-08-11T10:24:25.000Z,2021-08-11T10:43:55.000Z,8.917,7.722
12/08/2021,-4,83.85052347,2021-08-12T02:12:25.000Z,2021-08-12T02:18:25.000Z,2021-08-12T10:02:25.000Z,2021-08-12T10:21:55.000Z,8.167,7.111
13/08/2021,-4,70.24551572,2021-08-13T04:13:28.000Z,2021-08-13T04:23:58.000Z,2021-08-13T10:32:58.000Z,2021-08-13T10:48:58.000Z,6.583,5.611
14/08/2021,-4,91.89286532,2021-08-14T02:54:42.000Z,2021-08-14T03:04:42.000Z,2021-08-14T10:59:42.000Z,2021-08-14T11:17:12.000Z,8.389,7.667
15/08/2021,-4,82.20387811,2021-08-15T03:31:36.000Z,2021-08-15T03:46:06.000Z,2021-08-15T11:00:36.000Z,2021-08-15T11:02:06.000Z,7.500,6.806
16/08/2021,-4,90.80505804,2021-08-16T02:01:28.000Z,2021-08-16T02:02:58.000Z,2021-08-16T10:23:58.000Z,2021-08-16T10:41:28.000Z,8.667,7.861
17/08/2021,-4,72.75340793,2021-08-17T02:34:48.000Z,2021-08-17T02:48:18.000Z,2021-08-17T08:15:48.000Z,2021-08-17T10:18:48.000Z,7.722,5.333
18/08/2021,-4,59.8999211,2021-08-18T02:47:29.000Z,2021-08-18T02:47:29.000Z,2021-08-18T08:31:59.000Z,2021-08-18T10:07:59.000Z,7.333,4.917
19/08/2021,-4,87.03595835,2021-08-19T02:42:57.000Z,2021-08-19T02:55:57.000Z,2021-08-19T10:11:27.000Z,2021-08-19T10:15:57.000Z,7.556,7.028
20/08/2021,-4,92.69192886,2021-08-20T02:17:22.000Z,2021-08-20T02:24:22.000Z,2021-08-20T11:38:52.000Z,2021-08-20T11:40:22.000Z,9.389,8.556
21/08/2021,-4,84.05588327,2021-08-21T01:59:40.000Z,2021-08-21T02:08:10.000Z,2021-08-21T09:24:40.000Z,2021-08-21T09:24:40.000Z,7.417,6.833
22/08/2021,-4,81.89543651,2021-08-22T03:22:50.000Z,2021-08-22T03:26:20.000Z,2021-08-22T09:56:50.000Z,2021-08-22T10:05:20.000Z,6.722,6.333
23/08/2021,-4,90.4408939,2021-08-23T01:11:04.000Z,2021-08-23T01:26:34.000Z,2021-08-23T09:37:04.000Z,2021-08-23T09:59:34.000Z,8.806,7.833
24/08/2021,-4,89.49433622,2021-08-24T02:12:31.000Z,2021-08-24T02:12:31.000Z,2021-08-24T10:27:31.000Z,2021-08-24T10:48:01.000Z,8.583,7.806
25/08/2021,-4,74.11188672,2021-08-25T02:37:21.000Z,2021-08-25T02:54:51.000Z,2021-08-25T10:19:21.000Z,2021-08-25T10:29:21.000Z,7.861,6.583
26/08/2021,-4,95.61088117,2021-08-26T01:41:28.000Z,2021-08-26T01:52:28.000Z,2021-08-26T10:26:58.000Z,2021-08-26T10:37:58.000Z,8.944,8.306
27/08/2021,-4,96.53611111,2021-08-27T01:52:12.000Z,2021-08-27T01:52:12.000Z,2021-08-27T10:50:42.000Z,2021-08-27T10:56:42.000Z,9.083,8.722
28/08/2021,-4,93.9763278,2021-08-28T02:16:08.000Z,2021-08-28T02:22:08.000Z,2021-08-28T11:00:38.000Z,2021-08-28T11:20:38.000Z,9.083,8.250
29/08/2021,-4,53.38961001,2021-08-29T06:28:46.000Z,2021-08-29T06:37:46.000Z,2021-08-29T11:13:16.000Z,2021-08-29T12:03:16.000Z,5.583,4.194
30/08/2021,-4,96.23809524,2021-08-30T00:36:35.000Z,2021-08-30T00:46:35.000Z,2021-08-30T10:09:35.000Z,2021-08-30T10:19:05.000Z,9.722,9.083
31/08/2021,-4,85.1333082,2021-08-31T01:32:19.000Z,2021-08-31T01:49:19.000Z,2021-08-31T10:44:49.000Z,2021-08-31T10:53:19.000Z,9.361,7.889
01/09/2021,-4,82.0873557,2021-09-01T02:02:52.000Z,2021-09-01T02:07:22.000Z,2021-09-01T09:44:52.000Z,2021-09-01T09:48:22.000Z,7.750,7.000
02/09/2021,-4,86.9125,2021-09-02T01:40:36.000Z,2021-09-02T01:44:06.000Z,2021-09-02T08:44:36.000Z,2021-09-02T10:02:06.000Z,8.361,6.889
03/09/2021,-4,79.01294261,2021-09-03T02:09:38.000Z,2021-09-03T02:20:08.000Z,2021-09-03T09:57:38.000Z,2021-09-03T10:46:38.000Z,8.611,6.806
04/09/2021,-4,85.40829766,2021-09-04T02:19:20.000Z,2021-09-04T02:19:20.000Z,2021-09-04T11:13:20.000Z,2021-09-04T11:23:20.000Z,9.056,7.806
05/09/2021,-4,71.50586932,2021-09-05T03:24:23.000Z,2021-09-05T03:24:23.000Z,2021-09-05T10:34:23.000Z,2021-09-05T10:38:53.000Z,7.250,6.278
07/09/2021,-4,94.85246967,2021-09-07T00:50:00.000Z,2021-09-07T00:59:00.000Z,2021-09-07T10:27:00.000Z,2021-09-07T10:37:00.000Z,9.778,9.139
08/09/2021,-4,81.277053,2021-09-08T01:51:04.000Z,2021-09-08T01:55:34.000Z,2021-09-08T09:55:04.000Z,2021-09-08T10:33:34.000Z,8.722,7.167
09/09/2021,-4,69.59368556,2021-09-09T01:49:26.000Z,2021-09-09T02:02:56.000Z,2021-09-09T07:20:26.000Z,2021-09-09T10:16:56.000Z,8.472,5.083
10/09/2021,-4,81.72965008,2021-09-10T01:36:18.000Z,2021-09-10T01:45:48.000Z,2021-09-10T10:33:18.000Z,2021-09-10T10:47:18.000Z,9.194,7.000
11/09/2021,-4,83.89452275,2021-09-11T03:04:36.000Z,2021-09-11T03:04:36.000Z,2021-09-11T10:39:36.000Z,2021-09-11T11:00:06.000Z,7.917,6.389
12/09/2021,-4,73.28758556,2021-09-12T04:20:34.000Z,2021-09-12T04:39:04.000Z,2021-09-12T11:04:04.000Z,2021-09-12T11:15:04.000Z,6.917,5.917
13/09/2021,-4,95.08017934,2021-09-13T01:41:07.000Z,2021-09-13T01:48:07.000Z,2021-09-13T10:40:07.000Z,2021-09-13T10:50:07.000Z,9.139,8.472
14/09/2021,-4,94.67495292,2021-09-14T01:51:49.000Z,2021-09-14T02:01:19.000Z,2021-09-14T10:42:49.000Z,2021-09-14T10:53:49.000Z,9.028,8.278
15/09/2021,-4,88.59097035,2021-09-15T01:36:44.000Z,2021-09-15T01:41:44.000Z,2021-09-15T10:26:44.000Z,2021-09-15T10:50:14.000Z,9.222,7.917
16/09/2021,-4,93.71349206,2021-09-16T02:16:26.000Z,2021-09-16T02:18:56.000Z,2021-09-16T10:37:56.000Z,2021-09-16T10:40:26.000Z,8.389,8.083
17/09/2021,-4,80.81865079,2021-09-17T02:09:18.000Z,2021-09-17T02:12:48.000Z,2021-09-17T10:54:18.000Z,2021-09-17T11:08:48.000Z,9.000,7.556
18/09/2021,-4,88.38741663,2021-09-18T02:16:55.000Z,2021-09-18T02:21:55.000Z,2021-09-18T09:57:25.000Z,2021-09-18T09:59:25.000Z,7.722,7.278
19/09/2021,-4,90.32762222,2021-09-19T01:51:10.000Z,2021-09-19T01:55:10.000Z,2021-09-19T10:36:40.000Z,2021-09-19T10:41:40.000Z,8.833,8.111
20/09/2021,-4,93.55400729,2021-09-20T01:39:47.000Z,2021-09-20T01:47:17.000Z,2021-09-20T10:48:47.000Z,2021-09-20T10:56:47.000Z,9.278,8.639
21/09/2021,-4,78.94345763,2021-09-21T01:58:10.000Z,2021-09-21T02:01:40.000Z,2021-09-21T10:28:40.000Z,2021-09-21T10:36:40.000Z,8.639,7.333
22/09/2021,-4,91.74344634,2021-09-22T01:41:07.000Z,2021-09-22T01:52:37.000Z,2021-09-22T09:54:07.000Z,2021-09-22T10:24:37.000Z,8.722,7.667
23/09/2021,-4,92.16284892,2021-09-23T01:45:54.000Z,2021-09-23T01:59:54.000Z,2021-09-23T10:46:24.000Z,2021-09-23T10:50:54.000Z,9.083,8.306
24/09/2021,-4,69.18643106,2021-09-24T03:41:28.000Z,2021-09-24T03:41:28.000Z,2021-09-24T10:03:28.000Z,2021-09-24T10:03:28.000Z,6.361,5.639
25/09/2021,-4,94.92063492,2021-09-25T03:27:29.000Z,2021-09-25T03:29:59.000Z,2021-09-25T11:49:59.000Z,2021-09-25T11:50:29.000Z,8.389,8.139
26/09/2021,-4,94.75753968,2021-09-26T02:00:18.000Z,2021-09-26T02:11:18.000Z,2021-09-26T10:46:18.000Z,2021-09-26T10:57:18.000Z,8.944,8.361
27/09/2021,-4,95.81663922,2021-09-27T01:26:10.000Z,2021-09-27T01:35:10.000Z,2021-09-27T10:06:40.000Z,2021-09-27T10:40:40.000Z,9.250,8.194
28/09/2021,-4,88.18611111,2021-09-28T02:32:27.000Z,2021-09-28T02:32:27.000Z,2021-09-28T10:27:57.000Z,2021-09-28T10:38:27.000Z,8.111,7.528
29/09/2021,-4,91.32698413,2021-09-29T02:04:53.000Z,2021-09-29T02:12:53.000Z,2021-09-29T10:02:53.000Z,2021-09-29T10:02:53.000Z,7.972,7.611
30/09/2021,-4,89.44808362,2021-09-30T01:55:58.000Z,2021-09-30T02:04:28.000Z,2021-09-30T10:07:58.000Z,2021-09-30T10:27:58.000Z,8.528,7.667
01/10/2021,-4,81.22970624,2021-10-01T01:10:47.000Z,2021-10-01T01:28:17.000Z,2021-10-01T10:23:17.000Z,2021-10-01T10:32:17.000Z,9.361,7.611
02/10/2021,-4,68.10020328,2021-10-02T03:58:27.000Z,2021-10-02T04:03:27.000Z,2021-10-02T10:45:57.000Z,2021-10-02T10:46:27.000Z,6.806,5.833
03/10/2021,-4,90.68171753,2021-10-03T01:14:57.000Z,2021-10-03T01:21:27.000Z,2021-10-03T10:17:57.000Z,2021-10-03T11:11:57.000Z,9.944,8.417
04/10/2021,-4,76.78203235,2021-10-04T01:05:08.000Z,2021-10-04T01:18:08.000Z,2021-10-04T08:28:38.000Z,2021-10-04T08:28:38.000Z,7.389,6.500
05/10/2021,-4,94.36190476,2021-10-05T01:29:50.000Z,2021-10-05T01:34:20.000Z,2021-10-05T09:57:20.000Z,2021-10-05T10:12:20.000Z,8.722,8.083
06/10/2021,-4,92.91148397,2021-10-06T01:52:36.000Z,2021-10-06T02:18:06.000Z,2021-10-06T10:34:06.000Z,2021-10-06T10:45:06.000Z,8.889,8.000
07/10/2021,-4,87.94045726,2021-10-07T01:49:30.000Z,2021-10-07T01:54:00.000Z,2021-10-07T10:23:00.000Z,2021-10-07T10:41:30.000Z,8.861,7.778
08/10/2021,-4,78.4327065,2021-10-08T01:50:52.000Z,2021-10-08T01:50:52.000Z,2021-10-08T09:41:52.000Z,2021-10-08T10:02:22.000Z,8.194,6.806
09/10/2021,-4,92.90595238,2021-10-09T01:41:00.000Z,2021-10-09T01:48:00.000Z,2021-10-09T09:58:00.000Z,2021-10-09T10:14:30.000Z,8.556,7.889
10/10/2021,-4,87.95039683,2021-10-10T03:03:27.000Z,2021-10-10T03:12:57.000Z,2021-10-10T10:39:27.000Z,2021-10-10T10:51:27.000Z,7.806,7.139
11/10/2021,-4,95.54920635,2021-10-11T01:21:22.000Z,2021-10-11T01:30:22.000Z,2021-10-11T10:20:52.000Z,2021-10-11T10:21:52.000Z,9.000,8.556
12/10/2021,-4,63.77005363,2021-10-12T01:13:48.000Z,2021-10-12T01:40:18.000Z,2021-10-12T10:07:18.000Z,2021-10-12T10:07:48.000Z,8.889,6.778
13/10/2021,-4,73.3366629,2021-10-13T02:31:43.000Z,2021-10-13T03:21:43.000Z,2021-10-13T09:54:43.000Z,2021-10-13T10:10:43.000Z,7.639,6.194
14/10/2021,-4,84.30765014,2021-10-14T01:53:59.000Z,2021-10-14T02:05:29.000Z,2021-10-14T09:10:29.000Z,2021-10-14T09:10:29.000Z,7.278,6.806
15/10/2021,-4,82.19427836,2021-10-15T03:10:37.000Z,2021-10-15T03:32:37.000Z,2021-10-15T10:17:07.000Z,2021-10-15T10:32:07.000Z,7.361,6.472
16/10/2021,-4,89.41128332,2021-10-16T02:42:59.000Z,2021-10-16T03:06:59.000Z,2021-10-16T11:32:59.000Z,2021-10-16T11:55:59.000Z,9.222,7.917
17/10/2021,-4,93.77738095,2021-10-17T02:15:14.000Z,2021-10-17T02:15:14.000Z,2021-10-17T10:26:14.000Z,2021-10-17T10:33:44.000Z,8.306,8.000
18/10/2021,-4,89.74583802,2021-10-18T00:46:58.000Z,2021-10-18T00:52:28.000Z,2021-10-18T10:18:28.000Z,2021-10-18T10:31:28.000Z,9.750,8.611
19/10/2021,-4,90.90383882,2021-10-19T02:07:04.000Z,2021-10-19T02:18:04.000Z,2021-10-19T09:53:04.000Z,2021-10-19T09:58:04.000Z,7.861,7.306
20/10/2021,-4,92.93985689,2021-10-20T01:55:40.000Z,2021-10-20T02:05:10.000Z,2021-10-20T10:18:40.000Z,2021-10-20T10:34:40.000Z,8.639,7.833
21/10/2021,-4,91.42539683,2021-10-21T01:55:43.000Z,2021-10-21T02:05:13.000Z,2021-10-21T09:38:13.000Z,2021-10-21T10:00:43.000Z,8.083,7.389
22/10/2021,-4,83.02966377,2021-10-22T03:30:51.000Z,2021-10-22T03:34:21.000Z,2021-10-22T10:29:21.000Z,2021-10-22T10:52:51.000Z,7.361,6.611
23/10/2021,-4,86.97841354,2021-10-23T01:21:01.000Z,2021-10-23T01:37:01.000Z,2021-10-23T08:51:31.000Z,2021-10-23T08:51:31.000Z,7.500,6.972
24/10/2021,-4,96.28214286,2021-10-24T01:43:22.000Z,2021-10-24T01:48:52.000Z,2021-10-24T10:46:22.000Z,2021-10-24T11:02:22.000Z,9.306,8.611
25/10/2021,-4,81.53387512,2021-10-25T00:40:25.000Z,2021-10-25T00:46:55.000Z,2021-10-25T10:13:55.000Z,2021-10-25T10:24:55.000Z,9.750,8.167
26/10/2021,-4,93.68223553,2021-10-26T01:49:24.000Z,2021-10-26T01:59:54.000Z,2021-10-26T10:10:24.000Z,2021-10-26T10:45:54.000Z,8.944,7.889
27/10/2021,-4,90.53719336,2021-10-27T01:57:37.000Z,2021-10-27T02:15:07.000Z,2021-10-27T10:12:37.000Z,2021-10-27T10:23:07.000Z,8.417,7.639
28/10/2021,-4,86.9466675,2021-10-28T02:02:56.000Z,2021-10-28T02:19:56.000Z,2021-10-28T09:33:26.000Z,2021-10-28T09:33:26.000Z,7.500,6.972
29/10/2021,-4,51.0921627,2021-10-29T04:02:15.000Z,2021-10-29T04:48:40.000Z,2021-10-29T10:26:10.000Z,2021-10-29T10:27:10.000Z,6.417,4.833
30/10/2021,-4,89.55135024,2021-10-30T02:17:24.000Z,2021-10-30T02:22:24.000Z,2021-10-30T11:16:24.000Z,2021-10-30T11:17:54.000Z,9.000,8.083
31/10/2021,-4,44.18546619,2021-10-31T05:02:45.000Z,2021-10-31T05:21:45.000Z,2021-10-31T10:32:15.000Z,2021-10-31T10:32:15.000Z,5.500,4.306
